26/May/2019:17:21:13 +0800,remote_addr,POST /tensorflow.WorkerService/GetStatus HTTP/2.0,283,201,200
26/May/2019:17:21:15 +0800,remote_addr,POST /tensorflow.WorkerService/RegisterGraph HTTP/2.0,32009,163,200
26/May/2019:17:21:16 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,81,20809,200
26/May/2019:17:21:16 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,48,150,200
26/May/2019:17:21:16 +0800,remote_addr,POST /tensorflow.WorkerService/Logging HTTP/2.0,25,150,200
26/May/2019:17:21:16 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,63,145,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RegisterGraph HTTP/2.0,92,163,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,44,147,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RegisterGraph HTTP/2.0,2038,163,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,44,147,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,142,164,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,179,161,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RegisterGraph HTTP/2.0,1015,163,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,44,147,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,142,164,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RegisterGraph HTTP/2.0,503,163,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RunGraph HTTP/2.0,44,147,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/RecvTensor HTTP/2.0,144,164,200
26/May/2019:17:22:26 +0800,remote_addr,POST /tensorflow.WorkerService/CleanupGraph HTTP/2.0,24,145,200
